# SYNTHETIC -- generated by scripts/synthesize_sample.py, not a measurement
gpu_name,vec_bytes,stride,resident_warps,ilp,footprint_bytes,iters,bytes_moved,time_ms,achieved_gbps,spec_gbps,pct_of_spec,bytes_in_flight
"SYNTHETIC-HBM3e",16,1,32,1,2147483648,512,8388608,0.24921,33.661,3352.000,1.00,16384
"SYNTHETIC-HBM3e",16,1,32,2,2147483648,512,16777216,0.25051,66.973,3352.000,2.00,32768
"SYNTHETIC-HBM3e",16,1,32,4,2147483648,512,33554432,0.25742,130.351,3352.000,3.89,65536
"SYNTHETIC-HBM3e",16,1,32,8,2147483648,512,67108864,0.26922,249.273,3352.000,7.44,131072
"SYNTHETIC-HBM3e",16,1,64,1,2147483648,512,16777216,0.25352,66.177,3352.000,1.97,32768
"SYNTHETIC-HBM3e",16,1,64,2,2147483648,512,33554432,0.25830,129.904,3352.000,3.88,65536
"SYNTHETIC-HBM3e",16,1,64,4,2147483648,512,67108864,0.26807,250.337,3352.000,7.47,131072
"SYNTHETIC-HBM3e",16,1,64,8,2147483648,512,134217728,0.29026,462.412,3352.000,13.80,262144
"SYNTHETIC-HBM3e",16,1,128,1,2147483648,512,33554432,0.26126,128.435,3352.000,3.83,65536
"SYNTHETIC-HBM3e",16,1,128,2,2147483648,512,67108864,0.26615,252.151,3352.000,7.52,131072
"SYNTHETIC-HBM3e",16,1,128,4,2147483648,512,134217728,0.29068,461.740,3352.000,13.78,262144
"SYNTHETIC-HBM3e",16,1,128,8,2147483648,512,268435456,0.34076,787.758,3352.000,23.50,524288
"SYNTHETIC-HBM3e",16,1,256,1,2147483648,512,67108864,0.26946,249.047,3352.000,7.43,131072
"SYNTHETIC-HBM3e",16,1,256,2,2147483648,512,134217728,0.29552,454.177,3352.000,13.55,262144
"SYNTHETIC-HBM3e",16,1,256,4,2147483648,512,268435456,0.33849,793.047,3352.000,23.66,524288
"SYNTHETIC-HBM3e",16,1,256,8,2147483648,512,536870912,0.43260,1241.027,3352.000,37.02,1048576
"SYNTHETIC-HBM3e",16,1,512,1,2147483648,512,134217728,0.28938,463.816,3352.000,13.84,262144
"SYNTHETIC-HBM3e",16,1,512,2,2147483648,512,268435456,0.33896,791.930,3352.000,23.63,524288
"SYNTHETIC-HBM3e",16,1,512,4,2147483648,512,536870912,0.43951,1221.517,3352.000,36.44,1048576
"SYNTHETIC-HBM3e",16,1,512,8,2147483648,512,1073741824,0.64419,1666.813,3352.000,49.73,2097152
"SYNTHETIC-HBM3e",16,1,1024,1,2147483648,512,268435456,0.34344,781.616,3352.000,23.32,524288
"SYNTHETIC-HBM3e",16,1,1024,2,2147483648,512,536870912,0.43821,1225.157,3352.000,36.55,1048576
"SYNTHETIC-HBM3e",16,1,1024,4,2147483648,512,1073741824,0.64471,1665.462,3352.000,49.69,2097152
"SYNTHETIC-HBM3e",16,1,1024,8,2147483648,512,2147483648,1.02301,2099.187,3352.000,62.62,4194304
"SYNTHETIC-HBM3e",16,1,2048,1,2147483648,512,536870912,0.43919,1222.399,3352.000,36.47,1048576
"SYNTHETIC-HBM3e",16,1,2048,2,2147483648,512,1073741824,0.63201,1698.943,3352.000,50.68,2097152
"SYNTHETIC-HBM3e",16,1,2048,4,2147483648,512,2147483648,1.03936,2066.166,3352.000,61.64,4194304
"SYNTHETIC-HBM3e",16,1,2048,8,2147483648,512,4294967296,1.82038,2359.374,3352.000,70.39,8388608
